ano,bioma,lat,long,mes,focos
2019,Pará,-5.53,-52.29,JANEIRO,355
2019,Pará,-5.53,-52.29,FEVEREIRO,80
2019,Pará,-5.53,-52.29,MARÇO,46
2019,Pará,-5.53,-52.29,ABRIL,38
2019,Pará,-5.53,-52.29,MAIO,80
2019,Pará,-5.53,-52.29,JUNHO,315
2019,Pará,-5.53,-52.29,JULHO,1443
2019,Pará,-5.53,-52.29,AGOSTO,10185
2019,Pará,-5.53,-52.29,SETEMBRO,4618
2019,Pará,-5.53,-52.29,OUTUBRO,3870
2019,Pará,-5.53,-52.29,NOVEMBRO,7390
2019,Pará,-5.53,-52.29,DEZEMBRO,1745
2020,Pará,-5.53,-52.29,JANEIRO,225
2020,Pará,-5.53,-52.29,FEVEREIRO,64
2020,Pará,-5.53,-52.29,MARÇO,63
2020,Pará,-5.53,-52.29,ABRIL,38
2020,Pará,-5.53,-52.29,MAIO,88
2020,Pará,-5.53,-52.29,JUNHO,491
2020,Pará,-5.53,-52.29,JULHO,2687
2020,Pará,-5.53,-52.29,AGOSTO,10865
2020,Pará,-5.53,-52.29,SETEMBRO,8403
2020,Pará,-5.53,-52.29,OUTUBRO,0
2020,Pará,-5.53,-52.29,NOVEMBRO,0
2020,Pará,-5.53,-52.29,DEZEMBRO,0
1998,Rio Grande do Norte,-5.22,-36.52,JANEIRO,0
1998,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,0
1998,Rio Grande do Norte,-5.22,-36.52,MARÇO,0
1998,Rio Grande do Norte,-5.22,-36.52,ABRIL,0
1998,Rio Grande do Norte,-5.22,-36.52,MAIO,0
1998,Rio Grande do Norte,-5.22,-36.52,JUNHO,1
1998,Rio Grande do Norte,-5.22,-36.52,JULHO,5
1998,Rio Grande do Norte,-5.22,-36.52,AGOSTO,4
1998,Rio Grande do Norte,-5.22,-36.52,SETEMBRO,49
1998,Rio Grande do Norte,-5.22,-36.52,OUTUBRO,55
1998,Rio Grande do Norte,-5.22,-36.52,NOVEMBRO,41
1998,Rio Grande do Norte,-5.22,-36.52,DEZEMBRO,17
1999,Rio Grande do Norte,-5.22,-36.52,JANEIRO,32
1999,Rio Grande do Norte,-5.22,-36.52,FEVEREIRO,10
1999,Rio Grande do Norte,-5.22,-36.52,MARÇO,9
1999,Rio Grande do Norte,-5.22,-36.52,ABRIL,21
